B65807J0000R087,https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_6.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65807JR.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65807J0000R087/3914128,4339,Active,EPCOS - TDK Electronics,RM,N87,-,2.4 µH,2200,28.6,36.6,1050,"0.246"" (6.25mm)","0.701"" (17.90mm)","-20%, +30%",Ungapped,1490,Uncoated,0.78
PQ26/20-3C95,https://www.ferroxcube.com/upload/media/product/file/Pr_ds/PQ26_20.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2236/PQ.jpg,https://www.digikey.com/en/products/detail/ferroxcube/PQ26-20-3C95/7041639,1002,Active,Ferroxcube,PQ,3C95,-,0,0,0,0,0,"0.795"" (20.20mm)","1.075"" (27.30mm)",-,-,0,Uncoated,0
TX22/14/6.4-4C65,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/39/TX22_14_6.4-4C65.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2575/TX22%5E14%5E6.4.jpg,https://www.digikey.com/en/products/detail/ferroxcube/TX22-14-6-4-4C65/8021244,4101,Active,Ferroxcube,Toroid,4C65,"0.880"" (22.35mm)",0,0,0,0,0,"0.265"" (6.75mm)",-,-,-,0,Epoxy,0
B66365G0000X187,https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_44_22_15.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1249/B66365GX187.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B66365G0000X187/3914834,1477,Active,EPCOS - TDK Electronics,ETD,N87,-,0,0,0,0,0,"0.886"" (22.50mm)","1.724"" (43.80mm)",-,Ungapped,0,Uncoated,0
B65805N0160A048,https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_5.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65805N100A33.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65805N0160A048/3914075,2961,Active,EPCOS - TDK Electronics,RM,N48,-,160 nH,0,20.8,20.8,433,"0.207"" (5.25mm)","0.575"" (14.60mm)",±3%,Gapped,127,Uncoated,1
B66287K0000X187,https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_32_6_20.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/529/B66287PX187.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B66287K0000X187/4945609,11354,Active,EPCOS - TDK Electronics,I,N87,-,0,0,0,0,0,"0.124"" (3.15mm)","1.250"" (31.75mm)",-,Ungapped,0,Uncoated,0
B65541T0160G048,https://www.tdk-electronics.tdk.com/inf/80/db/fer/p_14_8.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65541T160G48.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65541T0160G048/3913786,1880,Active,EPCOS - TDK Electronics,P (Pot Core),N48,"0.563"" (14.30mm)",160 nH,0,20,25,500,"0.167"" (4.25mm)",-,±3%,Gapped,102,Uncoated,0.8
B64290L0058X830,https://www.tdk-electronics.tdk.com/inf/80/db/fer/r_34_0_20_5_10_0.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1147/B64290L0058X830.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B64290L0058X830/1830188,2719,Active,EPCOS - TDK Electronics,Toroid,N30,"1.397"" (35.50mm)",4.36 µH,4300,82.06,66.08,5423,"0.437"" (11.10mm)",-,±25%,Ungapped,0,Epoxy,1.24
RM10/I-3C95,https://www.ferroxcube.com/upload/media/product/file/Pr_ds/RM10_I.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2288/RM_I.jpg,https://www.digikey.com/en/products/detail/ferroxcube/RM10-I-3C95/7041684,1377,Active,Ferroxcube,RM,3C95,-,0,0,0,0,0,"0.729"" (18.60mm)","1.122"" (28.50mm)",-,-,0,Uncoated,0
T60006L2020W409,https://vacuumschmelze.com/03_Documents/Datasheets%20-%20Drawings/Cores/L2020-W409.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/427/MFG_T60006L2100V082.jpg,https://www.digikey.com/en/products/detail/vacuumschmelze/T60006L2020W409/12531962,14726,Active,VACUUMSCHMELZE,Toroid,-,"0.890"" (22.60mm)",57 µH,0,5110,240,0,"0.402"" (10.20mm)",-,-,Ungapped,0,Coated,0
TX36/23/15-3E6,https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_36_23_15.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/TX36^23^15.jpg,https://www.digikey.com/en/products/detail/ferroxcube/TX36-23-15-3E6/8021319,278,Active,Ferroxcube,Toroid,0,"1.463"" (37.15mm)",0,0,0,0,0,"0.630"" (16.00mm)",-,-,-,0,Epoxy,0
B65541T0100A033,https://www.tdk-electronics.tdk.com/inf/80/db/fer/p_14_8.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65541T100A33.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65541T0100A033/3913785,5046,Active,EPCOS - TDK Electronics,P (Pot Core),M33,"0.563"" (14.30mm)",100 nH,750,20,25,500,"0.167"" (4.25mm)",-,±3%,Gapped,64,Uncoated,0.8
00K4022E060,https://www.mag-inc.com/Media/Magnetics/Datasheets/00K4022E060.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5791/00K4022E060.jpg,https://www.digikey.com/en/products/detail/magnetics-a-division-of-spang-co/00K4022E060/18626854,1440,Active,"Magnetics, a division of Spang & Co.",E,Kool Mu,-,194 nH,60,98.4,237,23300,"0.830"" (21.08mm)","1.687"" (42.85mm)",±8%,Ungapped,0,Uncoated,0
B65511A0100A048,https://www.tdk-electronics.tdk.com/inf/80/db/fer/p_7_4.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65511A100A48.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65511A0100A048/3913679,7419,Active,EPCOS - TDK Electronics,P (Pot Core),N48,"0.289"" (7.35mm)",100 nH,0,10,7,70,"0.083"" (2.10mm)",-,±3%,Gapped,114,Uncoated,1.43
5961002701,https://www.fair-rite.com/wp-content/uploads/2019/05/5961002701cat.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/319/5952003801.JPG,https://www.digikey.com/en/products/detail/fair-rite-products-corp/5961002701/8599642,8939,Active,Fair-Rite Products Corp.,Toroid,61,"1.400"" (35.56mm)",0,125,89,79,7000,"0.500"" (12.70mm)",-,±25%,Ungapped,0,Uncoated,0
B65807N0100A033,https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_6.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65807N100A33.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65807N0100A033/3914133,2490,Active,EPCOS - TDK Electronics,RM,M33,-,100 nH,750,26.9,31.3,840,"0.246"" (6.25mm)","0.701"" (17.90mm)",±3%,Gapped,68.5,Uncoated,0.86
ZW43615TC,https://www.mag-inc.com/Media/Magnetics/Datasheets/ZW43615TC.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4889/MFG_FerriteToroidCore.jpg,https://www.digikey.com/en/products/detail/magnetics-a-division-of-spang-co/ZW43615TC/18626928,2475,Active,"Magnetics, a division of Spang & Co.",Toroid,W,"1.462"" (37.14mm)",13.4 µH,10000,89.6,95.9,8596,"0.620"" (15.75mm)",-,±30%,Ungapped,0,Epoxy,0
E43/10/28-3C95,https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E43_10_28.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2122/PlanarE.jpg,https://www.digikey.com/en/products/detail/ferroxcube/E43-10-28-3C95/7041503,1453,Active,Ferroxcube,E,3C95,-,0,0,0,0,0,"0.374"" (9.50mm)","1.700"" (43.20mm)",-,-,0,Uncoated,0
B65661D0000R030,https://www.tdk-electronics.tdk.com/inf/80/db/fer/p_22_13.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65661DR48.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65661D0000R030/3913878,1209,Active,EPCOS - TDK Electronics,P (Pot Core),N30,"0.866"" (22.00mm)",8.3 µH,4300,31.6,63,1990,"0.268"" (6.80mm)",-,"-20%, +30%",Ungapped,3020,Uncoated,0.5
T60006L2025W380,https://vacuumschmelze.com/03_Documents/Datasheets%20-%20Drawings/Cores/L2025-W380.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/427/MFG_T60006L2100V082.jpg,https://www.digikey.com/en/products/detail/vacuumschmelze/T60006L2025W380/12531047,8433,Active,VACUUMSCHMELZE,Toroid,0,"1.098"" (27.90mm)",67 µH,0,64.4,36,0,"0.492"" (12.50mm)",0,0,Ungapped,0,Uncoated,0
